iter	Passed	Remaining
0	8	8791
1	17	8953
2	27	9270
3	37	9364
4	47	9467
5	57	9468
6	67	9570
7	77	9577
8	85	9405
9	94	9386
10	104	9376
11	113	9381
12	123	9378
13	132	9365
14	141	9305
15	151	9302
16	160	9303
17	170	9291
18	179	9276
19	189	9266
20	198	9267
21	208	9281
22	218	9280
23	228	9274
24	237	9262
25	247	9262
26	255	9194
27	264	9196
28	275	9212
29	285	9231
30	296	9255
31	305	9254
32	316	9266
33	326	9272
34	336	9287
35	347	9298
36	357	9306
37	367	9315
38	378	9320
39	383	9214
40	394	9218
41	404	9228
42	414	9230
43	424	9232
44	434	9226
45	445	9243
46	456	9251
47	466	9252
48	476	9253
49	487	9257
50	497	9261
51	508	9268
52	519	9275
53	529	9284
54	540	9281
55	550	9286
56	561	9291
57	572	9295
58	583	9299
59	593	9293
60	603	9296
61	614	9298
62	624	9288
63	634	9279
64	644	9272
65	654	9267
66	665	9260
67	675	9257
68	686	9256
69	696	9259
70	708	9265
71	718	9260
72	728	9254
73	739	9252
74	750	9253
75	760	9244
76	770	9233
77	780	9226
78	790	9215
79	800	9204
80	810	9198
81	821	9193
82	831	9185
83	841	9172
84	852	9172
85	862	9162
86	872	9161
87	883	9159
88	894	9152
89	905	9151
90	916	9151
91	926	9145
92	937	9144
93	948	9139
94	959	9135
95	969	9130
96	980	9126
97	991	9121
98	1001	9114
99	1012	9108
100	1022	9100
101	1033	9095
102	1043	9088
103	1053	9079
104	1064	9071
105	1074	9066
106	1085	9061
107	1096	9054
108	1107	9051
109	1118	9051
110	1129	9045
111	1140	9039
112	1151	9035
113	1161	9027
114	1171	9017
115	1182	9013
116	1193	9005
117	1203	8998
118	1214	8989
119	1224	8981
120	1235	8972
121	1245	8964
122	1256	8960
123	1266	8950
124	1277	8941
125	1287	8932
126	1298	8924
127	1309	8920
128	1320	8914
129	1331	8908
130	1341	8900
131	1352	8894
132	1364	8894
133	1375	8889
134	1386	8882
135	1396	8872
136	1407	8866
137	1418	8858
138	1428	8850
139	1439	8842
140	1449	8831
141	1460	8824
142	1471	8816
143	1482	8810
144	1492	8803
145	1503	8794
146	1514	8788
147	1525	8779
148	1535	8772
149	1546	8761
150	1556	8750
151	1566	8740
152	1576	8729
153	1587	8721
154	1597	8709
155	1608	8700
156	1618	8689
157	1628	8677
158	1638	8667
159	1649	8658
160	1659	8645
161	1669	8635
162	1679	8624
163	1689	8613
164	1700	8604
165	1710	8595
166	1721	8584
167	1731	8576
168	1742	8567
169	1752	8557
170	1762	8545
171	1773	8535
172	1783	8524
173	1793	8514
174	1803	8503
175	1814	8494
176	1824	8484
177	1835	8476
178	1846	8469
179	1857	8463
180	1869	8459
181	1880	8452
182	1891	8445
183	1903	8440
184	1913	8431
185	1924	8422
186	1935	8414
187	1946	8406
188	1956	8397
189	1967	8386
190	1978	8378
191	1988	8368
192	1999	8359
193	2009	8350
194	2015	8321
195	2026	8312
196	2037	8304
197	2048	8296
198	2058	8286
199	2069	8278
200	2080	8271
201	2092	8265
202	2102	8256
203	2113	8246
204	2124	8238
205	2135	8229
206	2145	8220
207	2156	8211
208	2167	8201
209	2178	8194
210	2189	8186
211	2200	8177
212	2210	8167
213	2221	8159
214	2232	8150
215	2242	8140
216	2253	8131
217	2263	8119
218	2274	8111
219	2285	8101
220	2295	8091
221	2305	8080
222	2315	8069
223	2326	8058
224	2336	8048
225	2347	8038
226	2357	8028
227	2368	8020
228	2379	8010
229	2390	8003
230	2401	7994
231	2412	7984
232	2422	7975
233	2433	7966
234	2444	7956
235	2455	7947
236	2466	7941
237	2477	7933
238	2488	7924
239	2499	7914
240	2509	7903
241	2520	7894
242	2530	7884
243	2541	7873
244	2552	7864
245	2562	7854
246	2573	7845
247	2584	7835
248	2594	7824
249	2605	7816
250	2616	7807
251	2627	7799
252	2638	7790
253	2649	7781
254	2659	7771
255	2670	7761
256	2680	7750
257	2691	7740
258	2701	7730
259	2712	7721
260	2723	7711
261	2734	7702
262	2744	7692
263	2755	7682
264	2766	7672
265	2777	7663
266	2788	7654
267	2798	7644
268	2809	7634
269	2821	7627
270	2832	7619
271	2843	7609
272	2855	7603
273	2867	7597
274	2879	7590
275	2890	7582
276	2901	7573
277	2913	7565
278	2924	7557
279	2935	7547
280	2946	7538
281	2956	7528
282	2967	7519
283	2978	7509
284	2989	7500
285	2999	7489
286	3010	7478
287	3020	7467
288	3031	7457
289	3042	7448
290	3053	7438
291	3063	7428
292	3074	7418
293	3085	7408
294	3095	7398
295	3106	7388
296	3116	7377
297	3127	7367
298	3138	7356
299	3148	7345
300	3158	7335
301	3170	7326
302	3180	7316
303	3191	7305
304	3201	7295
305	3212	7285
306	3223	7275
307	3233	7264
308	3243	7254
309	3254	7243
310	3265	7233
311	3275	7223
312	3286	7212
313	3296	7202
314	3307	7191
315	3317	7181
316	3328	7171
317	3339	7161
318	3350	7152
319	3360	7141
320	3371	7131
321	3382	7121
322	3392	7111
323	3403	7101
324	3414	7092
325	3425	7082
326	3436	7073
327	3447	7063
328	3458	7054
329	3469	7044
330	3480	7034
331	3491	7024
332	3502	7016
333	3514	7007
334	3525	6997
335	3536	6987
336	3546	6977
337	3556	6966
338	3567	6956
339	3578	6946
340	3588	6935
341	3599	6925
342	3610	6914
343	3620	6904
344	3630	6893
345	3641	6882
346	3652	6872
347	3663	6863
348	3673	6852
349	3686	6845
350	3697	6836
351	3708	6826
352	3719	6816
353	3729	6806
354	3740	6795
355	3750	6785
356	3761	6775
357	3773	6766
358	3784	6756
359	3794	6746
360	3806	6737
361	3816	6727
362	3827	6717
363	3839	6709
364	3850	6699
365	3862	6690
366	3873	6680
367	3884	6671
368	3895	6662
369	3906	6651
370	3917	6641
371	3928	6631
372	3938	6621
373	3949	6611
374	3960	6601
375	3972	6592
376	3983	6582
377	3994	6573
378	4005	6563
379	4016	6553
380	4027	6543
381	4038	6534
382	4050	6524
383	4060	6514
384	4072	6504
385	4083	6495
386	4094	6486
387	4105	6475
388	4116	6465
389	4127	6456
390	4138	6445
391	4149	6436
392	4160	6425
393	4171	6415
394	4182	6406
395	4193	6395
396	4203	6385
397	4214	6374
398	4225	6365
399	4236	6354
400	4247	6345
401	4258	6335
402	4269	6324
403	4279	6313
404	4290	6302
405	4300	6291
406	4310	6281
407	4321	6270
408	4333	6262
409	4347	6256
410	4360	6249
411	4374	6243
412	4387	6236
413	4399	6227
414	4411	6218
415	4423	6209
416	4435	6201
417	4447	6193
418	4459	6184
419	4472	6175
420	4483	6166
421	4495	6157
422	4507	6148
423	4519	6139
424	4531	6130
425	4543	6121
426	4556	6114
427	4569	6106
428	4582	6099
429	4595	6091
430	4608	6084
431	4621	6076
432	4633	6067
433	4647	6061
434	4660	6053
435	4674	6046
